id~url~title~releasDate~desc~developers~discount~discountCost~realCost~reviewUrl
0~http://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_230_150_1~Counter-Strike: Global Offensive~21-Aug-2012~Counter-Strike: Global Offensive (CS: GO) will expand upon the team-based action gameplay that it pioneered when it was launched 14 years ago. CS: GO features new maps, characters, and weapons and delivers updated versions of the classic CS content (de_dust2, etc.).~Valve~~~39.95~http://steamcommunity.com/app/730/reviews/
1~http://store.steampowered.com/app/433850/H1Z1/?snr=1_7_7_230_150_1~H1Z1~17-Feb-2016~H1Z1 is a fast-paced, single-elimination, massive arena shooter. Players compete in large-scale chaotic PvP battles where everyone must fight to the death to be the last one standing.~Daybreak Game Company~~~49.95~http://steamcommunity.com/app/433850/reviews/
2~http://store.steampowered.com/app/624090/Football_Manager_2018/?snr=1_7_7_230_150_1~Football Manager 2018~9-Nov-2017~Football Manager 2018 is the latest release in the best-selling, smash-hit series. Putting you in the hot seat of any football club in more than 50 countries across the world, Football Manager 2018 is the closest thing to doing the job for real.~Sports Interactive~~~111.95~http://steamcommunity.com/app/624090/reviews/
3~http://store.steampowered.com/app/252950/Rocket_League/?snr=1_7_7_230_150_1~Rocket League®~7-Jul-2015~Soccer meets driving once again in the long-awaited, physics-based multiplayer-focused sequel to Supersonic Acrobatic Rocket-Powered Battle-Cars! Choose a variety of high-flying vehicles equipped with huge rocket boosters to score amazing aerial goals and pull-off incredible game-changing saves!~Psyonix, Inc.~~~49.95~http://steamcommunity.com/app/252950/reviews/
4~http://store.steampowered.com/app/435150/Divinity_Original_Sin_2/?snr=1_7_7_230_150_1~Divinity: Original Sin 2~14-Sep-2017~The eagerly anticipated sequel to the award-winning RPG. Gather your party. Master deep, tactical combat. Join up to 3 other players - but know that only one of you will have the chance to become a God.~Larian Studios~~~111.95~http://steamcommunity.com/app/435150/reviews/
5~http://store.steampowered.com/app/268910/Cuphead/?snr=1_7_7_230_150_1~Cuphead~29-Sep-2017~Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.~StudioMDHR Entertainment Inc.~~~49.95~http://steamcommunity.com/app/268910/reviews/
6~http://store.steampowered.com/app/392110/Endless_Space_2/?snr=1_7_7_230_150_1~Endless Space® 2~18-May-2017~Endless Space 2 is a Strategic Space Opera, featuring the compelling “just one more turn” gameplay, set in the mysterious Endless universe. As the leader of your civilization, will you impose your vision and build the greatest stellar empire?~AMPLITUDE Studios~-50%~46~92.95~http://steamcommunity.com/app/392110/reviews/
7~http://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_230_150_1~Dead Cells~10-May-2017~Dead Cells is a rogue-lite, metroidvania action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat.~Motion Twin~-25%~32~43.95~http://steamcommunity.com/app/588650/reviews/
8~http://store.steampowered.com/app/745880/__Hidden_Star_in_Four_Seasons/?snr=1_7_7_230_150_1~東方天空璋 ～ Hidden Star in Four Seasons.~11-Aug-2017~幻想郷の異常気象は決して地球温暖化が原因では無い。 ようとして正体の判らない異変。 全ての季節に現れた不気味な機構。 隠されていたのは天使か悪魔か、それとも……。 敵弾に当たらないように避けて、敵を撃破するゲームです。 各ステージの最後にはボスが居ますので、それをやっつけるとステージクリアです。 テクニックと精神力をかけた、ボスと自分とのタイマン勝負です。~上海アリス幻樂団~~~31~http://steamcommunity.com/app/745880/reviews/
9~http://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_230_150_1~Team Fortress 2~10-Oct-2007~Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!~Valve~~~0~http://steamcommunity.com/app/440/reviews/
10~http://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_230_150_1~Total War: WARHAMMER II~28-Sep-2017~Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command.~Creative Assembly~~~144.95~http://steamcommunity.com/app/594570/reviews/
